Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
263927_s_at								GO:0005737: cytoplasm, GO:0009809: lignin biosynthetic process, GO:0045551: cinnamyl-alcohol dehydrogenase activity	
245982_at	AtSWEET15, SAG29, SWEET15		5, 5, 5	-4181042	AT5G13170	831156	14551330, 14617064, 15086800, 15047901, 15448178, 15516340, 16021335, 16284313, 16500996, 16626450, 16603661, 16673935, 17064408, 17059409, 18452589, 20963606, 22157085, 23340744	GO:0005886: plasma membrane, GO:0005887: integral component of plasma membrane, GO:0008515: sucrose transmembrane transporter activity, GO:0010150: leaf senescence, GO:0010150: leaf senescence, GO:0015770: sucrose transport, GO:0016020: membrane, GO:0051119: sugar transmembrane transporter activity, GO:0071215: cellular response to abscisic acid stimulus, GO:0071446: cellular response to salicylic acid stimulus, GO:0071470: cellular response to osmotic stress	
262369_at	AtPPsPase1, ATPS2, PPsPase1, PS2		1, 1, 1, 1	-27464572	AT1G73010	843632	15634198, 15894620, 16673935, 17085508, 17559508, 18684332, 18775970, 21122813, 21546457, 22115780	GO:0004427: inorganic diphosphatase activity, GO:0005634: nucleus, GO:0016036: cellular response to phosphate starvation, GO:0016036: cellular response to phosphate starvation, GO:0016462: pyrophosphatase activity, GO:0019375: galactolipid biosynthetic process, GO:0045892: negative regulation of transcription, DNA-templated, GO:0051262: protein tetramerization	
259086_at			3	-1383996	AT3G04990	819659		GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0008150: biological_process	
247778_at			5	23728788	AT5G58750	835989		GO:0005575: cellular_component	
259855_at			1	25653893	AT1G68420	843171	16251277	GO:0005737: cytoplasm, GO:0048445: carpel morphogenesis	
252695_s_at									
265860_at			2	347537	AT2G01810	814712	12782723, 14573517, 14727029, 18775970, 18923020	GO:0003677: DNA binding, GO:0005739: mitochondrion, GO:0006355: regulation of transcription, DNA-templated	
248714_at			5	-19518770	AT5G48140	834866	17010199, 18775970, 23056537	GO:0004650: polygalacturonase activity, GO:0005576: extracellular region, GO:0005975: carbohydrate metabolic process, GO:0009827: plant-type cell wall modification	
257945_at	ASK10, SK10		3, 3	-7699777	AT3G21860	821740	11387208, 12795696, 13677462, 12970487, 14749489, 21119043	GO:0004842: ubiquitin-protein transferase activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006511: ubiquitin-dependent protein catabolic process, GO:0019005: SCF ubiquitin ligase complex, GO:0042023: DNA endoreduplication, GO:0043161: proteasome-mediated ubiquitin-dependent protein catabolic process, GO:0043248: proteasome assembly, GO:0051510: regulation of unidimensional cell growth, GO:0051788: response to misfolded protein	04120: Ubiquitin mediated proteolysis, 04141: Protein processing in endoplasmic reticulum, 04710: Circadian rhythm
254390_at	CPK15	member of Calcium Dependent Protein Kinase	4	11640807, 11640802	AT4G21940	828283	12068094, 12372144, 12805596, 12912986, 14576160, 14557048, 14690509, 15342534, 18650403, 21477822	GO:0004683: calmodulin-dependent protein kinase activity, GO:0005886: plasma membrane, GO:0006468: protein phosphorylation, GO:0016301: kinase activity	04626: Plant-pathogen interaction
264051_at			2	-9492879	AT2G22340	816766	18775970	GO:0003674: molecular_function, GO:0008150: biological_process	
263479_x_at									
257316_at									
245160_at	AtRLP28, RLP28		2, 2	14032015	AT2G33080	817870	11751054, 13678909, 15860015, 18434605, 18650403	GO:0005886: plasma membrane, GO:0007165: signal transduction	
256101_at									
251613_at			3	21463091	AT3G57960	824965		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
255687_at	ATKEA2, KEA2	member of Putative potassium transporter family, member of Putative potassium transporter family	4, 4	-261531, -261449	AT4G00630	825834	11500563, 14576160, 17432890, 22551943	GO:0006813: potassium ion transport, GO:0009507: chloroplast, GO:0009536: plastid, GO:0009941: chloroplast envelope, GO:0015079: potassium ion transmembrane transporter activity, GO:0015386: potassium:proton antiporter activity, GO:0015386: potassium:proton antiporter activity, GO:0016020: membrane	
252857_at			4	18441756	AT4G39756	830133		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0006869: lipid transport, GO:0008150: biological_process	
264237_at			1	20415898	AT1G54700	841911		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
267149_s_at									
257557_at			3	-4863631	AT3G14490	820672	12566586, 12777052, 14576160, 15918888, 16297850	GO:0005737: cytoplasm	
261730_s_at									
248707_at			5	19678917, 19678917	AT5G48550	834911	15703057, 20736450	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
265018_s_at			2	5736570	AT2G13770	815861		GO:0005575: cellular_component	
249517_at			5	-15451164	AT5G38580	833847		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
249676_at			5	-14108524	AT5G35960	833587		GO:0005576: extracellular region, GO:0016301: kinase activity	
258843_at	ANX1	Receptor-like kinase required  for maintenance of pollen tube growth. Display polar localization at  the plasma membrane of the pollen tube tip.	3	-1273172	AT3G04690	819627	18775970, 19736323, 20581305, 19646876, 22884521	GO:0005886: plasma membrane, GO:0009827: plant-type cell wall modification, GO:0009860: pollen tube growth, GO:0009860: pollen tube growth, GO:0016301: kinase activity, GO:0016324: apical plasma membrane, GO:0051510: regulation of unidimensional cell growth, GO:0090404: pollen tube tip	
249131_at	APUM14, PUM14	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts., Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.	5, 5	17309842	AT5G43110	834328	19682068, 20214804	GO:0003723: RNA binding, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005737: cytoplasm	
257298_at			3	-10485301	AT3G28155	822441		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
255661_at	ULP1B		4	281313	AT4G00690	828036	12482876, 14507998, 16581939, 16920872	GO:0005634: nucleus, GO:0006508: proteolysis, GO:0008234: cysteine-type peptidase activity, GO:0009507: chloroplast	
265787_at									
261466_at			1	2378076	AT1G07690	837282		GO:0003674: molecular_function, GO:0008150: biological_process	
260795_at	CLE3	Member of a large family of putative ligands homologous to the Clavata3 gene.  Consists of a single exon.	1	1905975	AT1G06225	837132	11457943, 12602871, 16489133, 20884811	GO:0005102: signaling receptor binding, GO:0005576: extracellular region, GO:0007165: signal transduction, GO:0048046: apoplast	
250506_at	ABCF2	member of GCN subfamily	5	-3097643	AT5G09930	830854	11346655, 14576160, 17164256, 18299247, 18441212	GO:0005215: transporter activity, GO:0005886: plasma membrane	
251671_at			3	-21172827	AT3G57210	824888		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
265914_at									
261856_at			1	-18721212	AT1G50530	841475		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
251201_at			3	23294425, 23294382	AT3G63020	825477	18667720	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
264194_at			1	-8044232	AT1G22720	838878		GO:0005794: Golgi apparatus, GO:0006468: protein phosphorylation, GO:0016301: kinase activity	
258290_at			3	8412319	AT3G23460	821927		GO:0005737: cytoplasm, GO:0009507: chloroplast	
247663_at	APUM18, PUM18	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts., Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.	5, 5	24201954	AT5G60110	836133	14576160, 19682068, 20214804	GO:0003723: RNA binding, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0007059: chromosome segregation, GO:0007129: synapsis, GO:0007131: reciprocal meiotic recombination, GO:0042138: meiotic DNA double-strand break formation	
252704_at			3	15646460	AT3G43750	823486	11983057, 18650403	GO:0005634: nucleus	
265744_at									
262191_at									
248397_at			5	-21184522	AT5G52140	835290	11983057, 12446138, 18650403	GO:0005634: nucleus, GO:0008150: biological_process	
264253_at			1	-2956589	AT1G09170	837437	14500793, 18775970, 20736450, 22253603	GO:0003777: microtubule motor activity, GO:0005737: cytoplasm	
246349_at			1	19293478	AT1G51915	841619	16510518	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
250103_at	AtMYB43, MYB43	Encodes a putative transcription factor (MYB43)., Encodes a putative transcription factor (MYB43).	5, 5	5438291	AT5G16600	831522	11597504, 15980264, 15918878, 16463103, 18467456, 18952777, 22197883, 9839469, 11118137	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0009737: response to abscisic acid, GO:0010413: glucuronoxylan metabolic process, GO:0045492: xylan biosynthetic process, GO:2000652: regulation of secondary cell wall biogenesis	
252153_at			3	-19064294	AT3G51360	824299	14697270, 15688252	GO:0006508: proteolysis	
246367_at	RHS6		1	-19270193	AT1G51880	841615	19448035	GO:0005576: extracellular region, GO:0016301: kinase activity	
258301_at									
255383_at			4	-1590413	AT4G03570	825657		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
254017_at			4	13256930	AT4G26170	828723	16244914, 17991462	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
256470_at									
255167_at									
262122_at	PGA4	encodes a exopolygalacturonase.	1	-610391	AT1G02790	839391	10721737, 10485285, 12805594, 15694452, 15860015, 16247729, 17010199, 18775970, 23056537	GO:0004650: polygalacturonase activity, GO:0005576: extracellular region, GO:0005975: carbohydrate metabolic process	00040: Pentose and glucuronate interconversions, 00500: Starch and sucrose metabolism, 01100: Metabolic pathways
265551_at									
254916_at			4	-6894208	AT4G11340	826736	12366802	GO:0005737: cytoplasm, GO:0006952: defense response	
263198_at	GLIP3	Contains lipase signature motif and GDSL domain.	1	20151016	AT1G53990	841837	15235117, 16126835	GO:0005576: extracellular region, GO:0016298: lipase activity	
246688_at									
249896_at			5	7480527	AT5G22530	832314		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process, GO:0009627: systemic acquired resistance, GO:0009697: salicylic acid biosynthetic process	
246878_at			5	-9104847	AT5G26060	832675	18426585, 18775970	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
264021_at	SAUR7		2	-9083906	AT2G21200	816657	12225588, 12007405, 15047898, 12893885, 15923325, 16412086, 17435085	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0009733: response to auxin, GO:0009741: response to brassinosteroid	04075: Plant hormone signal transduction
266936_at			2	-8197753	AT2G18920	816409	14576160, 20226671	GO:0003674: molecular_function, GO:0008150: biological_process	
247728_at									
250067_at			5	-5944553	AT5G17950	831662		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
266066_at	ATXTH21, XTH21		2, 2	8144912	AT2G18800	816395	11673616, 15086809, 15272873, 15720654, 16412086, 18725200, 23134674	GO:0005576: extracellular region, GO:0016798: hydrolase activity, acting on glycosyl bonds, GO:0042545: cell wall modification, GO:0080022: primary root development	
251606_at			3	21422823	AT3G57840	824953	16299181, 20226671	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
261047_at	APUM22, PUM22	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts., Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.	1, 1	153113	AT1G01410	837547	19682068, 20214804	GO:0005737: cytoplasm	
265491_s_at									
263816_at									
254868_at			4	7297808	AT4G12270	826835	14576160	GO:0005507: copper ion binding, GO:0005576: extracellular region	
245591_at			4	-8343476	AT4G14530	28720128	12698294, 15908605, 18775970	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
263818_at									
262097_at			1	-20942487	AT1G55990	842050		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
263316_s_at								GO:0005217: intracellular ligand-gated ion channel activity, GO:0005576: extracellular region, GO:0006874: cellular calcium ion homeostasis, GO:0009416: response to light stimulus	
248918_at	AtSAG12, SAG12	Senescence-associated gene 12 (SAG12) encoding a cysteine protease influenced by cytokinin, auxin, and sugars.Localized to special vacuole found during senescence called senescence associated vacuoles which are different from central vacuole in the tonoplast composition and pH., Senescence-associated gene 12 (SAG12) encoding a cysteine protease influenced by cytokinin, auxin, and sugars.Localized to special vacuole found during senescence called senescence associated vacuoles which are different from central vacuole in the tonoplast composition and pH.	5, 5	18613259	AT5G45890	834629	10972893, 10579487, 10579486, 10444084, 11598225, 11506370, 11432956, 12000449, 8592746, 15165184, 15734912, 15743448, 15797940, 16126861, 16244149, 16514542, 16883480, 17298883, 18212027, 18452589, 18539778, 18721318, 19143996, 19261736, 19453434, 19773385, 19857612, 20238146, 20505355, 20439547, 21489094, 21575215, 22080599, 22427974, 22706448, 23162120	GO:0005576: extracellular region, GO:0006508: proteolysis, GO:0007568: aging, GO:0007568: aging, GO:0008234: cysteine-type peptidase activity, GO:0009723: response to ethylene, GO:0009817: defense response to fungus, incompatible interaction, GO:0010150: leaf senescence, GO:0010150: leaf senescence, GO:0010282: senescence-associated vacuole	
257119_at	PRK4		3	7044943	AT3G20190	821563	12972053, 18775970, 21477822, 23024212	GO:0004674: protein serine/threonine kinase activity, GO:0005524: ATP binding, GO:0006468: protein phosphorylation, GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway, GO:0009860: pollen tube growth, GO:0016301: kinase activity, GO:0030048: actin filament-based movement, GO:0080092: regulation of pollen tube growth	
246456_at	ATTERT, TERT	Encodes the catalytic subunit of telomerase reverse transcriptase. Involved in telomere homeostasis. Homozygous double mutants with ATR show gross morphological defects over a period of generations. TERT shows Class II telomerase activity in vitro, indicating that it can initiate de novo telomerase synthesis on non-telomeric DNA, often using a preferred position within the telomerase-bound RNA., Encodes the catalytic subunit of telomerase reverse transcriptase. Involved in telomere homeostasis. Homozygous double mutants with ATR show gross morphological defects over a period of generations. TERT shows Class II telomerase activity in vitro, indicating that it can initiate de novo telomerase synthesis on non-telomeric DNA, often using a preferred position within the telomerase-bound RNA.	5, 5	-5538180	AT5G16850	831548	10611295, 10471830, 11359612, 12853623, 14579127, 16166376, 17036078, 17448460, 18212040, 18239859, 19188710, 19214203, 19812063, 20226671, 21865176, 22511802, 22623495, 23109676	GO:0000723: telomere maintenance, GO:0003720: telomerase activity, GO:0003721: telomerase RNA reverse transcriptase activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0007000: nucleolus organization, GO:0007004: telomere maintenance via telomerase, GO:0007004: telomere maintenance via telomerase, GO:0050000: chromosome localization, GO:0051276: chromosome organization	
253936_at			4	-13508265	AT4G26880	828795		GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
264794_at			1	-2760346	AT1G08670	837389		GO:0005737: cytoplasm, GO:0006826: iron ion transport, GO:0008150: biological_process, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015706: nitrate transport	
251268_at			3	-23071080	AT3G62350	825408		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
266381_at	ATSUC8, SUC8		2, 2	-6274606	AT2G14670	815955	12529515, 17098854, 22639641	GO:0005351: carbohydrate:proton symporter activity, GO:0005886: plasma membrane, GO:0008506: sucrose:proton symporter activity, GO:0015144: carbohydrate transmembrane transporter activity, GO:0016020: membrane	
267295_at	GGPS2, GGPS5	encodes an endoplasmic reticulum-targeted geranylgeranyl pyrophosphate synthase, encodes an endoplasmic reticulum-targeted geranylgeranyl pyrophosphate synthase	2, 2	-10131489	AT2G23800	816912	10759500, 9150607, 12777052, 14576160, 17028338, 17873098, 18433503	GO:0004311: farnesyltranstransferase activity, GO:0004311: farnesyltranstransferase activity, GO:0005783: endoplasmic reticulum, GO:0006744: ubiquinone biosynthetic process, GO:0008299: isoprenoid biosynthetic process	00900: Terpenoid backbone biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
249263_at			5	-16684914	AT5G41730	834176	16429265	GO:0004712: protein serine/threonine/tyrosine kinase activity, GO:0016301: kinase activity	
248662_at			5	-19747026, -19747026	AT5G48690	834927		GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0008150: biological_process	
260909_at			1	576046	AT1G02670	839532	15890746, 16489130, 17227549	GO:0003677: DNA binding, GO:0004386: helicase activity, GO:0005524: ATP binding, GO:0005634: nucleus, GO:0006281: DNA repair	
250121_at	LIP1		5	-5386675	AT5G16500	831511	17397552, 18775970	GO:0005737: cytoplasm, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0009827: plant-type cell wall modification, GO:0010183: pollen tube guidance, GO:0016301: kinase activity, GO:0090404: pollen tube tip	
246872_at			5	9107997	AT5G26080	832677	18772308	GO:0005886: plasma membrane	
249141_at			5	-17346141	AT5G43200	834338	11983057	GO:0005634: nucleus, GO:0008270: zinc ion binding	
255102_s_at									
252063_at	LTP12	Encodes a member of the lipid transfer protein family.  Proteins of this family are generally small (~9 kD), basic, expressed abundantly and contain eight Cys residues.  The proteins can bind fatty acids and acylCoA esters and can transfer several different phospholipids.  They are localized to the cell wall.  The LTP12 promoter is active exclusively in the tapetum during the uninucleate microspore and bicellular pollen stages. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.	3	-19135665	AT3G51590	824322	10940464, 14682612, 16831835, 18291034, 18252252, 18433503, 18674922, 20118226	GO:0005576: extracellular region, GO:0006869: lipid transport, GO:0008289: lipid binding, GO:0009505: plant-type cell wall, GO:0010584: pollen exine formation	
247088_at			5	26502502	AT5G66340	836766		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
247704_at	DVL18, RTFL5		5, 5	23990074	AT5G59510	836070	14871303, 15125775, 18667720	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0015824: proline transport, GO:0048367: shoot system development	
257942_at	ASK8, SK8		3, 3	-7693481	AT3G21830	821737	11387208, 12795696, 13677462, 12970487, 14749489, 17470057, 21119043	GO:0004842: ubiquitin-protein transferase activity, GO:0005634: nucleus, GO:0006511: ubiquitin-dependent protein catabolic process, GO:0019005: SCF ubiquitin ligase complex	04120: Ubiquitin mediated proteolysis, 04141: Protein processing in endoplasmic reticulum, 04710: Circadian rhythm
250583_at	AtTZF6, PEI1, TZF6	Encodes an embryo-specific zinc finger transcription factor required for heart-stage embryo formation., Encodes an embryo-specific zinc finger transcription factor required for heart-stage embryo formation., Encodes an embryo-specific zinc finger transcription factor required for heart-stage embryo formation.	5, 5, 5	2372619	AT5G07500	830642	9501112, 11118137, 12084821, 14739246, 14970339, 15773857, 17712602, 18221561, 18487351	GO:0003676: nucleic acid binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0009793: embryo development ending in seed dormancy	
251792_at	LecRK-S.4		3	-20600019	AT3G55550	824720	21431781	GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0016301: kinase activity	
245931_at			5	-2880423	AT5G09280	830787	18775970, 20649977	GO:0005886: plasma membrane, GO:0016829: lyase activity, GO:0030570: pectate lyase activity	00040: Pentose and glucuronate interconversions
255126_at			4	5218105	AT4G08270	826380		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
251350_at	CYP76C7	encodes a protein with cytochrome P450 domain	3	-22593973, -22594409	AT3G61040	825276	16504176, 16615871, 20736450	GO:0005576: extracellular region, GO:0006569: tryptophan catabolic process, GO:0009684: indoleacetic acid biosynthetic process, GO:0019825: oxygen binding	
263056_at									
261912_s_at								GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
246381_at									
254537_at			4	-10733864	AT4G19730	827717		GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds	
248887_at			5	18701320	AT5G46115	834653		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
251027_at			5	-439253	AT5G02210	831804	12912986, 20736450	GO:0003674: molecular_function, GO:0005575: cellular_component	
255234_at									
257872_at	ABCB16, PGP16		3, 3	-10611024	AT3G28360	822465	11346655, 11855639, 15381434, 17164256, 18299247, 20736450	GO:0005886: plasma membrane, GO:0010048: vernalization response, GO:0010315: auxin efflux, GO:0010540: basipetal auxin transport, GO:0010541: acropetal auxin transport, GO:0016021: integral component of membrane, GO:0042626: ATPase activity, coupled to transmembrane movement of substances, GO:0042626: ATPase activity, coupled to transmembrane movement of substances, GO:0043481: anthocyanin accumulation in tissues in response to UV light, GO:0045893: positive regulation of transcription, DNA-templated, GO:0048440: carpel development, GO:0055085: transmembrane transport	
263615_at	AtMYB100, MYB100	Encodes a putative transcription factor (MYB100)., Encodes a putative transcription factor (MYB100).	2, 2	-10747211	AT2G25230	817061	11118137, 11597504, 15239831	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated	
255252_at			4	2555090	AT4G04990	825841		GO:0003674: molecular_function, GO:0008150: biological_process	
249402_at		Encodes a defensin-like (DEFL) family protein.	5	16061891	AT5G40155	834013	18775970	GO:0003674: molecular_function, GO:0005576: extracellular region	
267395_at			2	18293457	AT2G44250	819033	20736450	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
253682_at			4	14525830	AT4G29640	829085		GO:0004126: cytidine deaminase activity, GO:0005575: cellular_component, GO:0009972: cytidine deamination	
266681_at									
