Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
246699_at			5	10017036	AT5G27990	832869		GO:0003674: molecular_function	
264679_s_at								GO:0003735: structural constituent of ribosome, GO:0005730: nucleolus, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0006412: translation, GO:0009507: chloroplast, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome	
251740_at	ROC2	rotamase cyclophilin 2 (ROC2) exhibiting peptidyl-prolyl cis-trans isomerase activity involved in signal transduction.	3	-20806749, -20806763	AT3G56070	824773	9426607, 15051864, 15047905, 15282545, 15356332, 15695462, 16502469, 17360592, 23289948	GO:0001510: RNA methylation, GO:0003755: peptidyl-prolyl cis-trans isomerase activity, GO:0005737: cytoplasm, GO:0005739: mitochondrion, GO:0005794: Golgi apparatus, GO:0005829: cytosol, GO:0006364: rRNA processing, GO:0006457: protein folding, GO:0007165: signal transduction, GO:0016018: cyclosporin A binding, GO:0046686: response to cadmium ion	
263371_at	EDA27, NOP10		2, 2	8831722, 8831716	AT2G20490	816569	15133128, 15695462, 15634699, 17286797, 17712600, 18315867, 18923020	GO:0001510: RNA methylation, GO:0003723: RNA binding, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0006364: rRNA processing, GO:0010197: polar nucleus fusion, GO:0015030: Cajal body	03008: Ribosome biogenesis in eukaryotes
265101_at			1	-10993195	AT1G30880	839972	16776300	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
258922_at			3	3319027	AT3G10610	820230	11598216, 15821981, 16258011, 17934214, 18650403	GO:0000028: ribosomal small subunit assembly, GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0006164: purine nucleotide biosynthetic process, GO:0006412: translation, GO:0006414: translational elongation, GO:0009165: nucleotide biosynthetic process, GO:0022626: cytosolic ribosome, GO:0022627: cytosolic small ribosomal subunit	03010: Ribosome
264849_at			2	7546480, 7546480	AT2G17360	816243	11598216, 17934214, 18650403, 18633119, 18775970	GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005774: vacuolar membrane, GO:0005829: cytosol, GO:0005886: plasma membrane, GO:0006412: translation, GO:0009507: chloroplast, GO:0022627: cytosolic small ribosomal subunit, GO:0022627: cytosolic small ribosomal subunit	03010: Ribosome
246965_at			5	-8533787	AT5G24840	832553		GO:0005634: nucleus, GO:0006626: protein targeting to mitochondrion, GO:0009165: nucleotide biosynthetic process	
249975_s_at								GO:0003735: structural constituent of ribosome, GO:0005739: mitochondrion, GO:0006412: translation, GO:0015934: large ribosomal subunit	
253202_at			4	-16504230	AT4G34555	829607	17934214, 22195043	GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0006412: translation, GO:0022627: cytosolic small ribosomal subunit	03010: Ribosome
266822_at			2	-18500803, -18500803	AT2G44860	819095	15272873, 15310832, 15489341, 17934214, 19403731	GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0005840: ribosome, GO:0006364: rRNA processing, GO:0006412: translation, GO:0022625: cytosolic large ribosomal subunit, GO:0042254: ribosome biogenesis	03010: Ribosome
258656_at	ATRAB8E, ATRABE1E, RABE1e		3, 3, 3	3034557	AT3G09900	820148	12644670, 16720694, 18805951	GO:0000394: RNA splicing, via endonucleolytic cleavage and ligation, GO:0005515: protein binding, GO:0005525: GTP binding, GO:0005886: plasma membrane, GO:0009086: methionine biosynthetic process	
260605_at			2	-18136182, -18136213	AT2G43780	818981	14671022, 16626458, 16979780	GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0005739: mitochondrion, GO:0008150: biological_process	
261272_at			1	9214174, 9214174	AT1G26665	839207	17560376, 18775970, 22021418	GO:0005634: nucleus	
247465_at	PRH75	DEAD/DEAH box RNA helicase PRH75	5	-24980268	AT5G62190	836340	9121476, 12609038, 15047901, 15133128, 23334891	GO:0001510: RNA methylation, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0008026: ATP-dependent helicase activity, GO:0016070: RNA metabolic process, GO:0017151: DEAD/H-box RNA helicase binding, GO:0051604: protein maturation	
263759_at			2	9112856	AT2G21290	816668		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
254429_at			4	11265651, 11265658	AT4G21105	827858	14671022, 15714319, 17660356, 18315867, 18775970	GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005774: vacuolar membrane, GO:0006623: protein targeting to vacuole	
254734_at			4	-7993155	AT4G13780	827012	16251277, 16297076, 16502469, 18775970	GO:0004825: methionine-tRNA ligase activity, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005829: cytosol, GO:0006431: methionyl-tRNA aminoacylation, GO:0046686: response to cadmium ion	00450: Selenocompound metabolism, 00970: Aminoacyl-tRNA biosynthesis
258623_at	MBS1		3	604845	AT3G02790	820985	11118137, 15489341, 16626458	GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0006355: regulation of transcription, DNA-templated, GO:0071452: cellular response to singlet oxygen	
261019_at	SNS1		1	9155091	AT1G26470	839188	16911220, 18650403, 18775970	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0006626: protein targeting to mitochondrion	
248473_at	TIM8	Encodes a small zinc finger-like protein that is a component of the mitochondrial protein import apparatus.	5	-20675634	AT5G50810	835153	16132859, 16979780, 17189330	GO:0001510: RNA methylation, GO:0005739: mitochondrion, GO:0005743: mitochondrial inner membrane, GO:0005758: mitochondrial intermembrane space, GO:0006626: protein targeting to mitochondrion, GO:0009507: chloroplast, GO:0009853: photorespiration, GO:0015450: P-P-bond-hydrolysis-driven protein transmembrane transporter activity	
251707_at	HINT1, HIT3	Encodes a protein that has adenylylsulfate sulfohydrolase activity (E.C. 3.6.2.1) in vitro., Encodes a protein that has adenylylsulfate sulfohydrolase activity (E.C. 3.6.2.1) in vitro.	3, 3	20941502	AT3G56490	824816	14535883, 14595688, 16776300, 19329564, 19896942, 21403921, 21477822	GO:0005080: protein kinase C binding, GO:0005777: peroxisome, GO:0005886: plasma membrane, GO:0006790: sulfur compound metabolic process, GO:0008270: zinc ion binding, GO:0009150: purine ribonucleotide metabolic process, GO:0047627: adenylylsulfatase activity	
253593_at			4	14982522, 14982522	AT4G30760	829199	18775970	GO:0005634: nucleus	
245909_at			5	-2911313	AT5G09380	830797		GO:0003899: DNA-directed 5'-3' RNA polymerase activity, GO:0005634: nucleus	
260541_at		Encodes a defensin-like (DEFL) family protein.	2	18070056	AT2G43530	818954	12753585, 15082560, 15347784, 17640338, 17675405, 18650403	GO:0000023: maltose metabolic process, GO:0005576: extracellular region, GO:0019252: starch biosynthetic process	
262611_at			1	-4817144	AT1G14060	837966	12912986	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0006626: protein targeting to mitochondrion	
266980_at			2	-16450660	AT2G39390	818524	11598216, 15310832, 15821981, 17934214	GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0006412: translation, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome, GO:0042254: ribosome biogenesis	03010: Ribosome
249343_at	SDH2-2	One of three isoforms of the iron-sulfur component of the succinate dehydrogenase complex, a component of the mitochondrial respiratory chain complex II. The product of the nuclear encoded gene is imported into the mitochondrion.  Expressed during germination and post-germinative growth.	5	16281404	AT5G40650	834065	11442063, 12374303, 12970493, 14671022, 15563621, 15829605, 16249327, 18775970, 15604729, 19924544, 20018591	GO:0000104: succinate dehydrogenase activity, GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005749: mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone), GO:0006121: mitochondrial electron transport, succinate to ubiquinone, GO:0008270: zinc ion binding, GO:0009055: electron transfer activity, GO:0045281: succinate dehydrogenase complex	00020: Citrate cycle (TCA cycle), 00190: Oxidative phosphorylation, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
259090_at			3	1360882	AT3G04920	819652	11598216, 16258011, 17496105, 17934214, 22195043	GO:0000462: maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005730: nucleolus, GO:0005737: cytoplasm, GO:0005774: vacuolar membrane, GO:0005829: cytosol, GO:0005840: ribosome, GO:0005886: plasma membrane, GO:0006412: translation, GO:0006414: translational elongation, GO:0009507: chloroplast, GO:0016020: membrane, GO:0022626: cytosolic ribosome, GO:0022627: cytosolic small ribosomal subunit, GO:0042254: ribosome biogenesis	03010: Ribosome
258079_at			3	9494697	AT3G25940	822191	15695462, 17560376	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006354: DNA-templated transcription, elongation, GO:0006355: regulation of transcription, DNA-templated	00230: Purine metabolism, 00240: Pyrimidine metabolism, 01100: Metabolic pathways, 03020: RNA polymerase
246384_at			1	29073843	AT1G77370	844073	15235117, 16720602, 18650403	GO:0005737: cytoplasm, GO:0005794: Golgi apparatus, GO:0008794: arsenate reductase (glutaredoxin) activity, GO:0019243: methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	
266239_at	TIM10	Encodes a small zinc finger-like protein that is a component of the mitochondrial protein import apparatus.	2	-12640800, -12640800, -12640800	AT2G29530	817502	14730085, 12047630, 15489280, 21612577	GO:0001510: RNA methylation, GO:0005739: mitochondrion, GO:0005743: mitochondrial inner membrane, GO:0005758: mitochondrial intermembrane space, GO:0006626: protein targeting to mitochondrion, GO:0009507: chloroplast, GO:0009853: photorespiration, GO:0015450: P-P-bond-hydrolysis-driven protein transmembrane transporter activity	
261314_at	AtNug2, Nug2		1, 1	19737432	AT1G52980	841731	16849600, 21205822	GO:0003924: GTPase activity, GO:0005525: GTP binding, GO:0005525: GTP binding, GO:0005634: nucleus, GO:0042254: ribosome biogenesis	03008: Ribosome biogenesis in eukaryotes
254594_at			4	10370704	AT4G18930	827628	9148938, 14595688, 18650403, 18775970, 21333657	GO:0004112: cyclic-nucleotide phosphodiesterase activity, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0006388: tRNA splicing, via endonucleolytic cleavage and ligation	
259123_at			3	406602, 406594	AT3G02200	821267	15978049, 16615871	GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0009640: photomorphogenesis	
265445_at			2	-15619407	AT2G37190	818295	11598216, 14617066, 15821981, 15955926, 16247729, 16400686, 16776300, 16856987, 17934214, 18650403, 20018591, 22195043	GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0005737: cytoplasm, GO:0005773: vacuole, GO:0005829: cytosol, GO:0005840: ribosome, GO:0008270: zinc ion binding, GO:0009409: response to cold, GO:0009506: plasmodesma, GO:0009507: chloroplast, GO:0022625: cytosolic large ribosomal subunit, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome, GO:0042254: ribosome biogenesis	03010: Ribosome
246559_at			5	-5058749, -5058836	AT5G15550	831408	15937229, 18223036, 18552200, 18650403	GO:0000166: nucleotide binding, GO:0000478: endonucleolytic cleavage involved in rRNA processing, GO:0001510: RNA methylation, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0005834: heterotrimeric G-protein complex, GO:0006606: protein import into nucleus, GO:0006626: protein targeting to mitochondrion, GO:0009506: plasmodesma, GO:0051604: protein maturation, GO:0080008: Cul4-RING E3 ubiquitin ligase complex	
248746_at			5	19388737	AT5G47890	834840	14576160, 18189341, 18315867, 21167537	GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005747: mitochondrial respiratory chain complex I, GO:0009507: chloroplast, GO:0009853: photorespiration, GO:0016655: oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	00190: Oxidative phosphorylation, 01100: Metabolic pathways
261508_at			1	-26986060	AT1G71730	843503	17151888, 20736450	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
254030_at			4	-13159484	AT4G25890	828695	11598216, 15287975, 15734919, 17934214, 18433157, 18650403	GO:0003735: structural constituent of ribosome, GO:0005634: nucleus, GO:0005840: ribosome, GO:0005886: plasma membrane, GO:0006414: translational elongation, GO:0022626: cytosolic ribosome	
245106_at			2	17363907	AT2G41650	818763	12969431, 18614705, 22487254	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
258453_at	ATRPABC24.3, NRPB5, NRPD5, RPB5A	Non-catalytic subunit common to DNA-dependent RNA polymerases I, II, III and IV; homologous to budding yeast RPB5., Non-catalytic subunit common to DNA-dependent RNA polymerases I, II, III and IV; homologous to budding yeast RPB5., Non-catalytic subunit common to DNA-dependent RNA polymerases I, II, III and IV; homologous to budding yeast RPB5., Non-catalytic subunit common to DNA-dependent RNA polymerases I, II, III and IV; homologous to budding yeast RPB5.	3, 3, 3, 3	-7890864	AT3G22320	821801	10231567, 18650403, 18775970, 19110459	GO:0000418: RNA polymerase IV complex, GO:0003677: DNA binding, GO:0003899: DNA-directed 5'-3' RNA polymerase activity, GO:0005634: nucleus, GO:0005665: RNA polymerase II, core complex, GO:0006351: transcription, DNA-templated, GO:0006626: protein targeting to mitochondrion, GO:0051604: protein maturation	00230: Purine metabolism, 00240: Pyrimidine metabolism, 01100: Metabolic pathways, 03020: RNA polymerase
259515_at			1	-7083196	AT1G20430	838631	14671022	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process, GO:0009507: chloroplast	
254355_at			4	-11811750	AT4G22380	828333	15310832, 17286797	GO:0003723: RNA binding, GO:0005634: nucleus, GO:0005730: nucleolus	03008: Ribosome biogenesis in eukaryotes, 03040: Spliceosome
248614_at			5	-20110961	AT5G49560	835018	20226671	GO:0005737: cytoplasm	
246265_at	AT-IE, HISN2	encodes a bifunctional protein that has phosphoribosyl-ATP pyrophosphohydrolase (PRA-PH) and phosphoribosyl-AMP cyclohydrolase (PRA-CH) activities., encodes a bifunctional protein that has phosphoribosyl-ATP pyrophosphohydrolase (PRA-PH) and phosphoribosyl-AMP cyclohydrolase (PRA-CH) activities.	1, 1	-11434108	AT1G31860	840076	9733547, 15695462, 16547652, 17434988	GO:0000105: histidine biosynthetic process, GO:0004635: phosphoribosyl-AMP cyclohydrolase activity, GO:0004636: phosphoribosyl-ATP diphosphatase activity, GO:0009165: nucleotide biosynthetic process, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009570: chloroplast stroma	00340: Histidine metabolism, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
249427_at			5	15950022	AT5G39850	833981	11598216, 15356332, 16527868, 16623895, 17672910	GO:0003735: structural constituent of ribosome, GO:0005829: cytosol, GO:0006412: translation, GO:0009506: plasmodesma, GO:0016020: membrane, GO:0022627: cytosolic small ribosomal subunit	03010: Ribosome
265899_s_at								GO:0004842: ubiquitin-protein transferase activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0006511: ubiquitin-dependent protein catabolic process, GO:0019005: SCF ubiquitin ligase complex	
256812_at	MED6		3	7517070, 7517070	AT3G21350	821689	17526732, 17560376, 18650403, 19671879, 22021418	GO:0005634: nucleus	
246538_at			5	-5037021	AT5G15520	831405	11598216, 17934214, 18650403	GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005634: nucleus, GO:0005730: nucleolus, GO:0005829: cytosol, GO:0005840: ribosome, GO:0006412: translation, GO:0009506: plasmodesma, GO:0016020: membrane, GO:0022627: cytosolic small ribosomal subunit	03010: Ribosome
245147_at	ATRAD51C, RAD51C	Encodes a protein similar to RAD51C involved in double stranded break repair via homologous recombination. Sensitive to DSB induced by Mitomycin C and gamma irradiation, interacts with Atxrcc3 in yeast two-hybrid assay.  Required for female meiosis but not critical for mitosis under normal conditions., Encodes a protein similar to RAD51C involved in double stranded break repair via homologous recombination. Sensitive to DSB induced by Mitomycin C and gamma irradiation, interacts with Atxrcc3 in yeast two-hybrid assay.  Required for female meiosis but not critical for mitosis under normal conditions.	2, 2	18670009, 18670009	AT2G45280	819136	12139010, 14675532, 14726957, 15155891, 15686518, 15923332, 16169964, 16980538, 18650403, 15952068, 20971895, 22120011, 22532804, 22860689	GO:0000150: recombinase activity, GO:0000278: mitotic cell cycle, GO:0000724: double-strand break repair via homologous recombination, GO:0000724: double-strand break repair via homologous recombination, GO:0003684: damaged DNA binding, GO:0003697: single-stranded DNA binding, GO:0005515: protein binding, GO:0005524: ATP binding, GO:0006261: DNA-dependent DNA replication, GO:0006275: regulation of DNA replication, GO:0006281: DNA repair, GO:0006306: DNA methylation, GO:0006310: DNA recombination, GO:0006355: regulation of transcription, DNA-templated, GO:0006396: RNA processing, GO:0006626: protein targeting to mitochondrion, GO:0007129: synapsis, GO:0007131: reciprocal meiotic recombination, GO:0007131: reciprocal meiotic recombination, GO:0007140: male meiotic nuclear division, GO:0007140: male meiotic nuclear division, GO:0007143: female meiotic nuclear division, GO:0009555: pollen development, GO:0009560: embryo sac egg cell differentiation, GO:0010212: response to ionizing radiation, GO:0016444: somatic cell DNA recombination, GO:0016444: somatic cell DNA recombination, GO:0031047: gene silencing by RNA, GO:0043687: post-translational protein modification, GO:0045003: double-strand break repair via synthesis-dependent strand annealing, GO:0045893: positive regulation of transcription, DNA-templated, GO:0051726: regulation of cell cycle	
257058_at	ATCOX17, COX17	Encodes protein similar to yeast COX17, a copper-binding protein that mediates the delivery of Cu to the mitochondria for the assembly of a functional cytochrome oxidase complex., Encodes protein similar to yeast COX17, a copper-binding protein that mediates the delivery of Cu to the mitochondria for the assembly of a functional cytochrome oxidase complex.	3, 3	5179413	AT3G15352	820770	12177498, 12196180, 14730085, 15546358, 16113211	GO:0006626: protein targeting to mitochondrion, GO:0009507: chloroplast, GO:0009617: response to bacterium, GO:0016531: copper chaperone activity, GO:0046688: response to copper ion	00190: Oxidative phosphorylation, 01100: Metabolic pathways
258701_at	AtRH57, RH57		3, 3	-2980221	AT3G09720	820129	15960618, 20226671	GO:0005634: nucleus, GO:0008026: ATP-dependent helicase activity, GO:0009220: pyrimidine ribonucleotide biosynthetic process	
250895_at			5	-1028340	AT5G03850	831692	11598216, 15060130, 17934214, 18650403, 18775970	GO:0003735: structural constituent of ribosome, GO:0003735: structural constituent of ribosome, GO:0005618: cell wall, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0005886: plasma membrane, GO:0006407: rRNA export from nucleus, GO:0006412: translation, GO:0022627: cytosolic small ribosomal subunit, GO:0042254: ribosome biogenesis	03010: Ribosome
259069_at	ATKRS-1		3	-3702169	AT3G11710	820343	16251277, 16297076, 17425721, 18775970, 20118269, 23148892	GO:0004824: lysine-tRNA ligase activity, GO:0004824: lysine-tRNA ligase activity, GO:0005524: ATP binding, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0006430: lysyl-tRNA aminoacylation, GO:0009165: nucleotide biosynthetic process, GO:0009506: plasmodesma, GO:0009640: photomorphogenesis	00970: Aminoacyl-tRNA biosynthesis
264166_at			1	-24284469	AT1G65370	842848	12663546, 14576160, 18650403, 23185391	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
256648_at			3	4433047, 4433131, 4433171	AT3G13580	820560	11598216, 15821981, 17934214	GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0006412: translation, GO:0009507: chloroplast, GO:0015934: large ribosomal subunit, GO:0016020: membrane, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome	03010: Ribosome
247641_at	ATPDX2, EMB2407, PDX2	Encodes a protein predicted to function in tandem with PDX1 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. PDX2 is predicted to function as glutaminase within the complex., Encodes a protein predicted to function in tandem with PDX1 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. PDX2 is predicted to function as glutaminase within the complex., Encodes a protein predicted to function in tandem with PDX1 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. PDX2 is predicted to function as glutaminase within the complex.	5, 5, 5	-24336623	AT5G60540	836175	16157873, 16236150, 16766694, 17468224, 17478635, 18505803, 18650403, 19656333, 20675613, 21241390	GO:0004359: glutaminase activity, GO:0004359: glutaminase activity, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0008615: pyridoxine biosynthetic process, GO:0009793: embryo development ending in seed dormancy, GO:0042819: vitamin B6 biosynthetic process, GO:0042819: vitamin B6 biosynthetic process, GO:0042819: vitamin B6 biosynthetic process, GO:0046982: protein heterodimerization activity	00750: Vitamin B6 metabolism
252147_at			3	19033568, 19033542	AT3G51270	824290		GO:0005634: nucleus	03008: Ribosome biogenesis in eukaryotes
