Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
250478_at	DOT3	Encodes a protein with an N-terminal BTB/POZ domain and a C-terminal NPH3 family domain. dot3 mutants have defects in shoot and primary root growth and produce an aberrant parallel venation pattern in juvenile leaves.	5	-3217028	AT5G10250	830889	15749712, 18643975	GO:0005886: plasma membrane, GO:0009416: response to light stimulus, GO:0010087: phloem or xylem histogenesis, GO:0010305: leaf vascular tissue pattern formation, GO:0010588: cotyledon vascular tissue pattern formation, GO:0048367: shoot system development, GO:0080022: primary root development	
247856_at			5	23571879, 23572341	AT5G58300	835942	12805628, 12972053, 17586839, 21431781, 21477822	GO:0004674: protein serine/threonine kinase activity, GO:0005524: ATP binding, GO:0005886: plasma membrane, GO:0006468: protein phosphorylation, GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway, GO:0010075: regulation of meristem growth, GO:0016301: kinase activity	
247030_at	IRX15-L		5	26818949	AT5G67210	836856	21251108, 21288268	GO:0003674: molecular_function, GO:0005794: Golgi apparatus, GO:0009834: plant-type secondary cell wall biogenesis, GO:0010413: glucuronoxylan metabolic process, GO:0045492: xylan biosynthetic process, GO:0045492: xylan biosynthetic process	
245176_at			2	19469719	AT2G47440	819357	12953064, 15047898, 17187690, 17411438	GO:0005634: nucleus, GO:0006457: protein folding	
250939_at	iqd2		5	-710102, -710102, -710233	AT5G03040	831696	14576160, 15546358, 15960618, 16368012, 18480120, 18650403	GO:0005516: calmodulin binding, GO:0005634: nucleus, GO:0005886: plasma membrane, GO:0006007: glucose catabolic process, GO:0008150: biological_process, GO:0048767: root hair elongation	
257076_at			3	6840281	AT3G19680	821505	14576160, 15720654, 16293693, 18650403, 21908688	GO:0005886: plasma membrane, GO:0009536: plastid	
257219_at	HEME1		3	5020570, 5020570, 5020591	AT3G14930	820722	12777052, 15326282, 15341630, 15632054, 17885809, 18650403, 20005002	GO:0004853: uroporphyrinogen decarboxylase activity, GO:0005737: cytoplasm, GO:0006569: tryptophan catabolic process, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009570: chloroplast stroma, GO:0009684: indoleacetic acid biosynthetic process, GO:0046686: response to cadmium ion	
255488_at			4	1151613	AT4G02630	828217	15923328, 21499259, 21477822	GO:0004674: protein serine/threonine kinase activity, GO:0005886: plasma membrane, GO:0007623: circadian rhythm, GO:0016301: kinase activity, GO:0042546: cell wall biogenesis, GO:0046777: protein autophosphorylation	
259943_at			1	26931940	AT1G71480	843489	15322131, 17665211	GO:0005622: intracellular, GO:0005634: nucleus, GO:0006606: protein import into nucleus, GO:0008565: protein transporter activity, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009535: chloroplast thylakoid membrane, GO:0015996: chlorophyll catabolic process	
258025_at	3-PGDH, PGDH3		3, 3	6752531	AT3G19480	821482	14576160, 14671022, 17885809, 18650403	GO:0005739: mitochondrion, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009570: chloroplast stroma	00260: Glycine, serine and threonine metabolism, 01100: Metabolic pathways
264147_at	CER1, CER22	Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studies showed that cer1 mutants are blocked in the conversion of stem wax C30 aldehydes to C29 alkanes, and they also lack the secondary alcohols and ketones. These suggested the CER1 protein is an aldehyde decarbonylase, but the exact molecular function of this protein remains to be determined., Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studies showed that cer1 mutants are blocked in the conversion of stem wax C30 aldehydes to C29 alkanes, and they also lack the secondary alcohols and ketones. These suggested the CER1 protein is an aldehyde decarbonylase, but the exact molecular function of this protein remains to be determined.	1, 1	418767, 418767, 418748	AT1G02205	837602	9112770, 8718622, 8528281, 1847001, 12228482, 12724542, 12974811, 15070782, 17376164, 17661078, 18650403, 19322663, 19819982, 19892830, 20736450, 21386033, 22773744	GO:0009414: response to water deprivation, GO:0010025: wax biosynthetic process, GO:0042335: cuticle development, GO:0042742: defense response to bacterium, GO:0043447: alkane biosynthetic process, GO:0043447: alkane biosynthetic process, GO:0046185: aldehyde catabolic process, GO:0050832: defense response to fungus, GO:0071771: aldehyde decarbonylase activity	
249392_at			5	-16059509	AT5G40150	834012	12473102, 15231406, 16920880	GO:0004601: peroxidase activity, GO:0005576: extracellular region	00360: Phenylalanine metabolism, 00940: Phenylpropanoid biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
259072_at	FLA18		3	3698839	AT3G11700	820342	12177459, 14645732, 15235117, 16244449, 18334669, 18775970, 20202165	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0005773: vacuole, GO:0007155: cell adhesion, GO:0010583: response to cyclopentenone	
252365_at	CEP3		3	17905725	AT3G48350	823993	14697270, 17304219, 21632425	GO:0005576: extracellular region, GO:0006508: proteolysis, GO:0008234: cysteine-type peptidase activity	
266353_at	MLP328, ZCE1		2, 2	235925	AT2G01520	814681	12953064, 12952558, 14573523, 14551330, 15047898, 15272873, 15634198, 15634696, 15694452, 16673935, 16648215, 16915521, 17153927, 17888165, 18210371, 18682547, 19880396, 21298397	GO:0005507: copper ion binding, GO:0005634: nucleus, GO:0005829: cytosol, GO:0010043: response to zinc ion, GO:0010228: vegetative to reproductive phase transition of meristem, GO:0080184: response to phenylpropanoid	
244972_at	PSBB	encodes for CP47, subunit of the photosystem II reaction center.	C		ATCG00680		9112766, 8768377, 11549768, 12782738, 14519118, 14729914, 15322131, 15918885, 16461379, 17175536, 17435084, 18650403	GO:0006091: generation of precursor metabolites and energy, GO:0006354: DNA-templated transcription, elongation, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0009539: photosystem II reaction center, GO:0009579: thylakoid, GO:0010207: photosystem II assembly, GO:0010207: photosystem II assembly, GO:0010287: plastoglobule, GO:0015979: photosynthesis, GO:0016020: membrane, GO:0016168: chlorophyll binding, GO:0019684: photosynthesis, light reaction, GO:0019684: photosynthesis, light reaction	
262260_at	MLP34		1	-26715183, -26715183, -26714866	AT1G70850	843422	12952558, 14551330, 14682612, 15516340, 15574398, 16626458, 16673935, 20736450	GO:0003674: molecular_function, GO:0005737: cytoplasm	
247470_at	ATGT18, GT18, XLT2		5, 5, 5	-24988456	AT5G62220	836343	14576160, 15020758, 18650403, 18805951, 18793471, 22474179	GO:0003824: catalytic activity, GO:0005794: Golgi apparatus, GO:0005794: Golgi apparatus, GO:0006007: glucose catabolic process, GO:0008378: galactosyltransferase activity, GO:0009969: xyloglucan biosynthetic process, GO:0016020: membrane	
266715_at			2	19229293	AT2G46780	819291		GO:0003723: RNA binding, GO:0005737: cytoplasm, GO:0008150: biological_process	
247467_at			5	-24950317, -24950264	AT5G62130	836333	15272873, 15377757, 17064408	GO:0003674: molecular_function, GO:0005794: Golgi apparatus, GO:0008150: biological_process	
248224_at		thylakoid lumenal 17.4 kDa protein, chloroplast, identical to SP:P81760 Thylakoid lumenal 17.4 kDa protein, chloroplast precursor (P17.4) {Arabidopsis thaliana}. Putative pentapeptide protein.	5	-21723307, -21723307, -21723307	AT5G53490	835431	11719511, 11826309, 14576160, 14729914, 15352244, 17163439, 18431481, 18650403	GO:0003674: molecular_function, GO:0005515: protein binding, GO:0005576: extracellular region, GO:0006364: rRNA processing, GO:0006636: unsaturated fatty acid biosynthetic process, GO:0008150: biological_process, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0009543: chloroplast thylakoid lumen, GO:0009570: chloroplast stroma, GO:0009579: thylakoid, GO:0010027: thylakoid membrane organization, GO:0015979: photosynthesis, GO:0015995: chlorophyll biosynthetic process, GO:0016117: carotenoid biosynthetic process, GO:0019288: isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway, GO:0030003: cellular cation homeostasis, GO:0031977: thylakoid lumen, GO:0070838: divalent metal ion transport	
252950_at			4	-18074475	AT4G38690	830025	12225588, 12538522, 12912986, 15040888, 16024587, 17478635, 18650403	GO:0005576: extracellular region	
248419_at	EXL3		5	-20939494	AT5G51550	835229	16287169, 17496105, 17601825, 18650403, 19149885, 19216774, 20351290	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0007020: microtubule nucleation, GO:0009505: plant-type cell wall, GO:0009506: plasmodesma, GO:0080167: response to karrikin	
254553_at		Encodes a TIR-NB-LRR resistance protein.  Transient expression in tobacco induces cell death.	4	10651744	AT4G19530	827695	12671079, 15165183, 15282545, 15634198, 16081527, 16920880, 17956627, 18397376, 18650403, 19132868	GO:0005634: nucleus, GO:0006952: defense response, GO:0009637: response to blue light, GO:0009870: defense response signaling pathway, resistance gene-dependent, GO:0010155: regulation of proton transport, GO:0016556: mRNA modification, GO:0046777: protein autophosphorylation	
256049_at	AtSLP1, SLP1		1, 1	2152887, 2152852, 2152880	AT1G07010	837211	12154131, 14576160, 18156295, 21960277, 21976480	GO:0004722: protein serine/threonine phosphatase activity, GO:0005777: peroxisome, GO:0009507: chloroplast, GO:0010264: myo-inositol hexakisphosphate biosynthetic process	
247638_at	AtFLA12, FLA12		5, 5	-24325727	AT5G60490	836170	12068095, 12177459, 12805588, 14671020, 14645732, 15235117, 15937231, 16244449, 16367961, 16927204, 18467456, 18723362, 20202165, 21124849, 21966441, 23053954	GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0009834: plant-type secondary cell wall biogenesis, GO:0031225: anchored component of membrane	
262151_at			1	-19561510, -19561506	AT1G52510	841682	14576160, 18650403	GO:0005737: cytoplasm, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009570: chloroplast stroma, GO:0009941: chloroplast envelope, GO:0016556: mRNA modification, GO:0016787: hydrolase activity	
261975_at	AtENODL8, ENODL8		1, 1	-24022285	AT1G64640	842772	12068095, 12805588, 16972165, 18650403, 19897921, 20736450	GO:0005507: copper ion binding, GO:0005886: plasma membrane, GO:0031225: anchored component of membrane	
246797_at			5	9423092	AT5G26790	832737		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
252272_at	BAM2	Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  Very similar to BAM1,with more than 85% a.a. identity. It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function. Anthers of double mutants (bam1bam2) appeared abnormal at a very early stage and lack the endothecium, middle, and tapetum layers. Further analyses revealed that cells interior to the epidermis (in anther tissue) acquire some characteristics of pollen mother cells (PMCs), suggesting defects in cell fate specification. The pollen mother-like cells degenerate before the completion of meiosis, suggesting that these cells are defective. In addition, the BAM2 expression pattern supports both an early role in promoting somatic cell fates and a subsequent function in the PMCs.	3	18417568	AT3G49670	824129	12972053, 15086800, 15509765, 15695462, 16367950, 16751349, 17217541, 18650403, 18780746, 20179141, 20626648, 21051944, 21477822, 21750229	GO:0000271: polysaccharide biosynthetic process, GO:0004674: protein serine/threonine kinase activity, GO:0005515: protein binding, GO:0005524: ATP binding, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006468: protein phosphorylation, GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway, GO:0007389: pattern specification process, GO:0008361: regulation of cell size, GO:0009664: plant-type cell wall organization, GO:0009740: gibberellic acid mediated signaling pathway, GO:0009825: multidimensional cell growth, GO:0009832: plant-type cell wall biogenesis, GO:0009926: auxin polar transport, GO:0009932: cell tip growth, GO:0009934: regulation of meristem structural organization, GO:0010015: root morphogenesis, GO:0010075: regulation of meristem growth, GO:0010075: regulation of meristem growth, GO:0010162: seed dormancy process, GO:0010480: microsporocyte differentiation, GO:0010817: regulation of hormone levels, GO:0033612: receptor serine/threonine kinase binding, GO:0040007: growth, GO:0043481: anthocyanin accumulation in tissues in response to UV light, GO:0048229: gametophyte development, GO:0048437: floral organ development, GO:0048653: anther development, GO:0048653: anther development, GO:0048767: root hair elongation, GO:0071555: cell wall organization	
246983_at			5	-26813725	AT5G67200	836855	12972053, 15937229, 21431781, 21477822	GO:0004674: protein serine/threonine kinase activity, GO:0005524: ATP binding, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006342: chromatin silencing, GO:0006468: protein phosphorylation, GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway, GO:0009855: determination of bilateral symmetry, GO:0009887: animal organ morphogenesis, GO:0009944: polarity specification of adaxial/abaxial axis, GO:0010014: meristem initiation, GO:0010051: xylem and phloem pattern formation, GO:0010073: meristem maintenance, GO:0048439: flower morphogenesis, GO:0048519: negative regulation of biological process, GO:0051567: histone H3-K9 methylation	
251157_at	CSP41A	Encodes a protein with ribonuclease activity that is involved in plastid rRNA maturation.	3	-23326867	AT3G63140	825489	14576160, 16461379, 16633814, 17163439, 17511964, 17828791, 18433503, 18398686, 18650403, 18775970, 19067181, 22090436, 22140236	GO:0003729: mRNA binding, GO:0005515: protein binding, GO:0006098: pentose-phosphate shunt, GO:0006364: rRNA processing, GO:0006364: rRNA processing, GO:0008266: poly(U) RNA binding, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009570: chloroplast stroma, GO:0009579: thylakoid, GO:0009637: response to blue light, GO:0009657: plastid organization, GO:0009735: response to cytokinin, GO:0009941: chloroplast envelope, GO:0009965: leaf morphogenesis, GO:0010114: response to red light, GO:0010207: photosystem II assembly, GO:0010218: response to far red light, GO:0010287: plastoglobule, GO:0015979: photosynthesis, GO:0015995: chlorophyll biosynthetic process, GO:0019684: photosynthesis, light reaction, GO:0030154: cell differentiation, GO:0032544: plastid translation, GO:0045727: positive regulation of translation, GO:0045893: positive regulation of transcription, DNA-templated, GO:0045893: positive regulation of transcription, DNA-templated, GO:0048046: apoplast	
262473_at	FTSH1	encodes an FTSH protease that is localized to the chloroplast. Involved in the D1 repair cycle of Photosystem II. FtsH1 and FtsH5 are interchangeable in thylakoid membranes.	1	-18614209	AT1G50250	841447	10849347, 11719511, 11299370, 12185496, 14576160, 14630971, 14740254, 14996218, 15276459, 15322131, 15489341, 16040665, 16126834, 16157880, 17181860, 17217462, 17432890, 18230142, 18431481, 18633119, 19228339, 21062893, 21214651, 22121866	GO:0004176: ATP-dependent peptidase activity, GO:0005515: protein binding, GO:0006098: pentose-phosphate shunt, GO:0008237: metallopeptidase activity, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0009941: chloroplast envelope, GO:0010206: photosystem II repair, GO:0010304: PSII associated light-harvesting complex II catabolic process, GO:0010304: PSII associated light-harvesting complex II catabolic process, GO:0016020: membrane, GO:0016887: ATPase activity, GO:0031977: thylakoid lumen	
250133_at	ATF2, TRXF2	Encodes an f-type thioredoxin (Trx-f2) localized in chloroplast stroma., Encodes an f-type thioredoxin (Trx-f2) localized in chloroplast stroma.	5, 5	-5363661	AT5G16400	831501	11169189, 14576160, 15619004, 17031546, 18650403, 18614707, 19259774, 22646759	GO:0005829: cytosol, GO:0008047: enzyme activator activity, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009570: chloroplast stroma, GO:0043085: positive regulation of catalytic activity, GO:0043085: positive regulation of catalytic activity	
248377_at	At-NEET, NEET		5, 5	21009592	AT5G51720	835246	12773641, 12953064, 17028341, 17208187, 18650403, 22562611	GO:0005739: mitochondrion, GO:0006098: pentose-phosphate shunt, GO:0009507: chloroplast, GO:0009570: chloroplast stroma, GO:0010150: leaf senescence, GO:0016556: mRNA modification, GO:0051537: 2 iron, 2 sulfur cluster binding, GO:0055072: iron ion homeostasis, GO:0072593: reactive oxygen species metabolic process	
251575_at	ATBZIP61, BZIP61	Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP34. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells., Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP34. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells.	3, 3	-21520974	AT3G58120	824981	11118137, 11906833, 14576160, 15047879, 15489341, 16330523, 16463051, 17010199, 17293567, 17478635, 17719007, 18552355, 18775970	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009410: response to xenobiotic stimulus, GO:0030968: endoplasmic reticulum unfolded protein response, GO:0045893: positive regulation of transcription, DNA-templated	
255549_at	ATGPAT3, GPAT3	Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity., Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity.	4, 4	-844409	AT4G01950	827165	12119417, 12586344, 12007405, 12897259, 15047898, 15247402, 16258017, 16258011, 17259262, 18650403, 22864585	GO:0005739: mitochondrion, GO:0006655: phosphatidylglycerol biosynthetic process, GO:0008152: metabolic process, GO:0016746: transferase activity, transferring acyl groups	00561: Glycerolipid metabolism, 00564: Glycerophospholipid metabolism, 01100: Metabolic pathways
265665_at			2	-11726144	AT2G27420	817287	14697270, 14690509, 16021335, 16626450, 16829591, 16973304, 18671872, 18650403	GO:0006508: proteolysis, GO:0008234: cysteine-type peptidase activity	
253860_at			4	-13826374	AT4G27700	828884	12492831, 12482606, 14576160, 15181206, 15322131, 17408957, 18650403	GO:0000023: maltose metabolic process, GO:0003674: molecular_function, GO:0006098: pentose-phosphate shunt, GO:0007568: aging, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0009941: chloroplast envelope, GO:0019252: starch biosynthetic process, GO:0043085: positive regulation of catalytic activity	
252441_at	PTAC16		3	17228673	AT3G46780	823831	12509522, 14576160, 15322131, 16326926, 17899171, 18650403, 21499259, 21877139, 22616989, 23334891	GO:0006098: pentose-phosphate shunt, GO:0006364: rRNA processing, GO:0007623: circadian rhythm, GO:0009295: nucleoid, GO:0009507: chloroplast, GO:0009508: plastid chromosome, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0009637: response to blue light, GO:0009902: chloroplast relocation, GO:0009941: chloroplast envelope, GO:0010027: thylakoid membrane organization, GO:0010103: stomatal complex morphogenesis, GO:0010114: response to red light, GO:0010218: response to far red light, GO:0015979: photosynthesis, GO:0015995: chlorophyll biosynthetic process, GO:0016020: membrane, GO:0016117: carotenoid biosynthetic process, GO:0019684: photosynthesis, light reaction, GO:0019761: glucosinolate biosynthetic process, GO:0034660: ncRNA metabolic process	
254938_at	ATOPT7, OPT7	oligopeptide transporter, oligopeptide transporter	4, 4	-6628404	AT4G10770	826672	11788749, 12953064, 16151844, 17481610, 18650403	GO:0006857: oligopeptide transport, GO:0016020: membrane	
262168_at			1	28078857	AT1G74730	843812	12376647, 14576160, 14729914, 15322131, 18650403	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0030003: cellular cation homeostasis, GO:0070838: divalent metal ion transport	
250261_at			5	-4296688	AT5G13400	831181	15010618, 16258012, 17481610, 18650403, 20501909	GO:0005215: transporter activity, GO:0005886: plasma membrane, GO:0006857: oligopeptide transport, GO:0016020: membrane	
250500_at	PELPK1, PRP10		5, 5	-2959734	AT5G09530	830812	15272873, 15546358, 15824099, 16262716, 16941220, 17497164, 17888165, 18252252, 18650403, 18603616, 20736450, 21559969	GO:0009791: post-embryonic development	
250278_at	DiT1		5	-4059686, -4059686	AT5G12860	831126	12154133, 12766230, 12912986, 12887583, 14576160, 16055441, 16258015, 16478044, 16514558, 16618929, 17432890, 17919328, 18550839, 18650403, 21175886	GO:0005739: mitochondrion, GO:0006499: N-terminal protein myristoylation, GO:0006833: water transport, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009534: chloroplast thylakoid, GO:0009536: plastid, GO:0009624: response to nematode, GO:0009651: response to salt stress, GO:0009750: response to fructose, GO:0009832: plant-type cell wall biogenesis, GO:0009941: chloroplast envelope, GO:0015131: oxaloacetate transmembrane transporter activity, GO:0015131: oxaloacetate transmembrane transporter activity, GO:0015139: alpha-ketoglutarate transmembrane transporter activity, GO:0015139: alpha-ketoglutarate transmembrane transporter activity, GO:0015140: malate transmembrane transporter activity, GO:0015367: oxoglutarate:malate antiporter activity, GO:0015729: oxaloacetate transport, GO:0015742: alpha-ketoglutarate transport, GO:0015743: malate transport, GO:0016020: membrane, GO:0016049: cell growth, GO:0016126: sterol biosynthetic process, GO:0019676: ammonia assimilation cycle, GO:0030243: cellulose metabolic process, GO:0071423: malate transmembrane transport	
